Location,Year,Population,n.Year,n.Population
"Jefferson County, New York",2019,109834,n.2019,0
"Kings County, New York",2016,2608423,n.2016,1
"Kings County, New York",2017,2594676,n.2017,0.72
"Kings County, New York",2018,2578074,n.2018,0.37
"Kings County, New York",2019,2559903,n.2019,0
"Lewis County, New York",2016,26647,n.2016,1
"Lewis County, New York",2017,26605,n.2017,0.88
"Lewis County, New York",2018,26486,n.2018,0.54
"Lewis County, New York",2019,26296,n.2019,0
"Livingston County, New York",2016,64000,n.2016,1
"Livingston County, New York",2017,63483,n.2017,0.52
"Livingston County, New York",2018,63213,n.2018,0.28
"Livingston County, New York",2019,62914,n.2019,0
"Madison County, New York",2016,71387,n.2016,1
"Madison County, New York",2017,70942,n.2017,0
"Madison County, New York",2018,71117,n.2018,0.39
"Madison County, New York",2019,70941,n.2019,0
"Monroe County, New York",2016,743770,n.2016,1
"Monroe County, New York",2017,742724,n.2017,0.48
"Monroe County, New York",2018,742864,n.2018,0.55
"Monroe County, New York",2019,741770,n.2019,0
"Montgomery County, New York",2016,49169,n.2016,0.03
"Montgomery County, New York",2017,49163,n.2017,0
"Montgomery County, New York",2018,49394,n.2018,1
"Montgomery County, New York",2019,49221,n.2019,0.25
"Nassau County, New York",2016,1355952,n.2016,0
"Nassau County, New York",2017,1357293,n.2017,0.85
"Nassau County, New York",2018,1357534,n.2018,1
"Nassau County, New York",2019,1356924,n.2019,0.61
"New York County, New York",2016,1635443,n.2016,1
"New York County, New York",2017,1630698,n.2017,0.3
"New York County, New York",2018,1629055,n.2018,0.05
"New York County, New York",2019,1628706,n.2019,0
"Niagara County, New York",2016,211554,n.2016,1
"Niagara County, New York",2017,210848,n.2017,0.69
"Niagara County, New York",2018,210060,n.2018,0.34
"Niagara County, New York",2019,209281,n.2019,0
"Oneida County, New York",2016,230375,n.2016,1
"Oneida County, New York",2017,230011,n.2017,0.79
"Oneida County, New York",2018,229474,n.2018,0.47
"Oneida County, New York",2019,228671,n.2019,0
"Onondaga County, New York",2016,464109,n.2016,1
"Onondaga County, New York",2017,461795,n.2017,0.35
"Onondaga County, New York",2018,461649,n.2018,0.31
"Onondaga County, New York",2019,460528,n.2019,0
"Ontario County, New York",2016,109229,n.2016,0
"Ontario County, New York",2017,109538,n.2017,0.56
"Ontario County, New York",2018,109738,n.2018,0.93
"Ontario County, New York",2019,109777,n.2019,1
"Orange County, New York",2016,377799,n.2016,0
"Orange County, New York",2017,379758,n.2017,0.27
"Orange County, New York",2018,382126,n.2018,0.61
"Orange County, New York",2019,384940,n.2019,1
"Orleans County, New York",2016,41247,n.2016,1
"Orleans County, New York",2017,40786,n.2017,0.48
"Orleans County, New York",2018,40655,n.2018,0.34
"Orleans County, New York",2019,40352,n.2019,0
"Oswego County, New York",2016,118895,n.2016,1
"Oswego County, New York",2017,118427,n.2017,0.74
"Oswego County, New York",2018,117515,n.2018,0.22
"Oswego County, New York",2019,117124,n.2019,0
"Otsego County, New York",2016,60132,n.2016,1
"Otsego County, New York",2017,59920,n.2017,0.67
"Otsego County, New York",2018,59810,n.2018,0.5
"Otsego County, New York",2019,59493,n.2019,0
"Putnam County, New York",2016,98761,n.2016,0.82
"Putnam County, New York",2017,98856,n.2017,1
"Putnam County, New York",2018,98814,n.2018,0.92
"Putnam County, New York",2019,98320,n.2019,0
"Queens County, New York",2016,2306830,n.2016,1
"Queens County, New York",2017,2295808,n.2017,0.79
"Queens County, New York",2018,2274605,n.2018,0.39
"Queens County, New York",2019,2253858,n.2019,0
"Rensselaer County, New York",2016,159294,n.2016,1
"Rensselaer County, New York",2017,159200,n.2017,0.84
"Rensselaer County, New York",2018,159283,n.2018,0.98
"Rensselaer County, New York",2019,158714,n.2019,0
"Richmond County, New York",2016,474040,n.2016,0
"Richmond County, New York",2017,475671,n.2017,0.73
"Richmond County, New York",2018,476260,n.2018,1
"Richmond County, New York",2019,476143,n.2019,0.95
"Rockland County, New York",2016,323258,n.2016,0
"Rockland County, New York",2017,324622,n.2017,0.54
"Rockland County, New York",2018,325522,n.2018,0.89
"Rockland County, New York",2019,325789,n.2019,1
"St. Lawrence County, New York",2016,109449,n.2016,1
"St. Lawrence County, New York",2017,108699,n.2017,0.56
"St. Lawrence County, New York",2018,108327,n.2018,0.34
"St. Lawrence County, New York",2019,107740,n.2019,0
"Saratoga County, New York",2016,227122,n.2016,0
"Saratoga County, New York",2017,229276,n.2017,0.71
"Saratoga County, New York",2018,230170,n.2018,1
